x,y,label
246,447,A
249,447,A
247,435,A
242,418,A
243,417,A
238,404,A
234,390,A
233,392,A
227,381,A
222,375,A
221,376,A
217,372,A
215,370,A
215,370,A
213,370,A
211,371,A
211,372,A
210,375,A
207,381,A
202,387,A
202,387,A
200,387,A
201,387,A
203,376,A
213,357,A
214,356,A
224,330,A
259,284,A
258,277,A
267,230,A
277,193,A
288,170,A
288,170,A
297,148,A
299,149,A
309,135,A
318,128,A
319,129,A
330,138,A
347,163,A
349,163,A
369,212,A
490,459,A
480,442,A
465,427,A
466,429,A
464,430,A
462,413,A
466,426,A
425,383,A
356,302,A
355,305,A
328,290,A
303,283,A
268,271,A
259,267,A
237,267,A
230,265,A
229,265,A
228,264,A
238,261,A
237,260,A
262,255,A
261,256,A
287,257,A
308,259,A
322,261,A
326,259,A
330,262,A
333,262,A
333,262,A
335,264,A
337,265,A
338,264,A
340,265,A
340,265,A
341,265,A
341,267,A
