x,y,label
498,199,B
504,199,B
504,199,B
509,200,B
511,203,B
511,204,B
511,210,B
510,222,B
510,224,B
511,235,B
503,262,B
504,271,B
511,304,B
527,385,B
533,386,B
518,396,B
508,406,B
509,408,B
506,411,B
515,421,B
518,423,B
518,404,B
504,362,B
501,355,B
502,332,B
476,275,B
476,295,B
495,262,B
509,207,B
509,208,B
527,200,B
528,200,B
548,197,B
563,207,B
563,207,B
570,220,B
563,236,B
563,235,B
547,254,B
522,308,B
505,280,B
503,286,B
491,289,B
490,291,B
492,288,B
503,284,B
503,285,B
518,279,B
545,283,B
546,282,B
560,290,B
572,297,B
581,305,B
580,304,B
579,313,B
569,322,B
569,323,B
557,330,B
556,333,B
527,343,B
508,351,B
513,356,B
497,352,B
481,353,B
463,346,B
463,353,B
453,355,B
444,360,B
444,359,B
439,358,B
437,358,B
