x,y,label
294,325,D
294,325,D
293,325,D
292,324,D
289,325,D
288,326,D
287,329,D
287,335,D
290,339,D
290,338,D
329,381,D
343,382,D
315,347,D
350,361,D
386,372,D
396,375,D
413,348,D
400,350,D
415,301,D
426,275,D
428,258,D
429,258,D
423,231,D
411,214,D
409,211,D
394,193,D
372,177,D
370,179,D
350,170,D
333,170,D
334,170,D
317,166,D
304,167,D
303,166,D
296,169,D
290,171,D
291,171,D
287,175,D
282,184,D
281,185,D
277,212,D
283,274,D
282,274,D
289,295,D
285,313,D
294,313,D
289,324,D
286,329,D
285,330,D
287,333,D
288,340,D
288,341,D
288,344,D
286,344,D
286,343,D
284,349,D
285,353,D
285,352,D
284,351,D
285,355,D
288,355,D
284,357,D
283,357,D
286,358,D
285,358,D
285,358,D
285,359,D
285,358,D
286,358,D
284,357,D
284,357,D
284,358,D
