x,y,label
483,180,E
484,181,E
487,181,E
488,181,E
489,182,E
487,182,E
487,182,E
482,182,E
473,187,E
470,188,E
457,187,E
444,188,E
443,187,E
429,188,E
419,187,E
419,187,E
409,189,E
403,191,E
403,191,E
397,196,E
393,204,E
394,203,E
391,218,E
391,229,E
392,229,E
390,243,E
388,251,E
388,251,E
386,256,E
385,259,E
386,259,E
386,259,E
394,258,E
394,257,E
404,255,E
422,253,E
421,253,E
441,251,E
460,253,E
460,253,E
477,253,E
489,255,E
492,255,E
494,257,E
490,257,E
489,257,E
478,259,E
463,258,E
462,259,E
445,256,E
432,258,E
432,258,E
421,258,E
411,259,E
400,258,E
400,258,E
393,258,E
386,260,E
386,260,E
382,263,E
382,263,E
382,268,E
382,277,E
384,276,E
385,284,E
382,296,E
386,304,E
386,304,E
383,312,E
382,317,E
384,316,E
376,327,E
376,327,E
376,333,E
379,337,E
379,337,E
382,335,E
391,330,E
407,327,E
405,328,E
421,325,E
437,323,E
436,323,E
448,323,E
461,325,E
460,325,E
468,324,E
467,325,E
472,331,E
479,354,E
479,349,E
481,350,E
477,341,E
479,350,E
478,341,E
479,348,E
