x,y,label
486,180,FF
487,179,FF
487,184,FF
488,182,FF
489,191,FF
490,201,FF
490,204,FF
491,219,FF
488,241,FF
490,243,FF
487,264,FF
489,296,FF
487,295,FF
490,324,FF
490,345,FF
491,345,FF
488,360,FF
490,364,FF
491,366,FF
492,366,FF
492,361,FF
493,361,FF
494,351,FF
492,330,FF
492,332,FF
488,310,FF
484,290,FF
477,269,FF
478,271,FF
475,249,FF
475,251,FF
470,229,FF
465,212,FF
467,213,FF
463,199,FF
461,188,FF
461,189,FF
460,173,FF
461,165,FF
464,161,FF
464,160,FF
474,159,FF
489,157,FF
488,157,FF
506,156,FF
507,156,FF
524,157,FF
539,157,FF
539,157,FF
551,158,FF
553,160,FF
551,161,FF
550,160,FF
542,162,FF
529,164,FF
528,163,FF
513,167,FF
513,166,FF
501,167,FF
488,172,FF
489,171,FF
479,173,FF
472,177,FF
470,180,FF
470,181,FF
470,186,FF
470,194,FF
471,195,FF
471,204,FF
473,212,FF
473,214,FF
475,222,FF
475,223,FF
483,224,FF
495,223,FF
509,221,FF
509,220,FF
526,218,FF
542,216,FF
543,215,FF
557,217,FF
569,219,FF
569,221,FF
577,222,FF
577,223,FF
577,226,FF
570,227,FF
