x,y,label
358,130,G
359,124,G
360,121,G
361,121,G
361,119,G
361,119,G
360,116,G
356,114,G
354,115,G
348,112,G
337,110,G
319,113,G
318,111,G
299,117,G
279,124,G
280,124,G
259,135,G
239,150,G
239,150,G
222,170,G
221,169,G
208,190,G
197,212,G
190,234,G
192,237,G
187,263,G
189,290,G
191,292,G
198,311,G
217,330,G
216,329,G
249,346,G
267,350,G
267,348,G
298,345,G
328,339,G
328,339,G
349,325,G
363,309,G
363,308,G
371,296,G
375,287,G
377,285,G
371,274,G
364,267,G
364,267,G
349,262,G
334,260,G
334,260,G
313,261,G
297,264,G
297,262,G
283,266,G
275,269,G
276,267,G
273,269,G
273,269,G
272,268,G
273,268,G
273,268,G
