x,y,label
328,177,H
329,177,H
331,176,H
331,176,H
332,176,H
334,178,H
334,179,H
336,186,H
338,199,H
336,201,H
337,224,H
335,248,H
336,247,H
336,275,H
336,306,H
333,304,H
335,336,H
336,365,H
335,367,H
332,381,H
335,385,H
334,386,H
336,379,H
335,363,H
335,364,H
337,345,H
336,324,H
335,327,H
335,308,H
337,295,H
337,293,H
337,284,H
337,277,H
338,275,H
339,273,H
341,272,H
341,272,H
346,274,H
358,277,H
359,275,H
377,281,H
401,283,H
423,283,H
423,283,H
445,280,H
446,280,H
465,278,H
480,278,H
480,279,H
489,277,H
490,274,H
491,273,H
489,263,H
487,251,H
484,234,H
482,236,H
481,217,H
480,202,H
479,203,H
477,196,H
477,196,H
477,191,H
477,194,H
478,202,H
477,201,H
478,214,H
486,235,H
486,237,H
489,261,H
492,290,H
493,292,H
497,316,H
496,314,H
497,338,H
498,352,H
497,352,H
499,357,H
497,361,H
497,360,H
