x,y,label
221,208,J
216,205,J
217,204,J
218,202,J
226,199,J
224,196,J
235,198,J
234,196,J
248,197,J
251,195,J
271,196,J
272,194,J
324,199,J
351,201,J
352,203,J
369,201,J
370,199,J
373,200,J
372,200,J
349,202,J
329,203,J
330,201,J
317,202,J
317,202,J
305,203,J
305,203,J
293,204,J
293,204,J
293,205,J
295,209,J
295,209,J
301,219,J
300,219,J
304,236,J
304,235,J
303,294,J
290,322,J
292,319,J
291,342,J
288,339,J
265,358,J
269,359,J
259,361,J
260,360,J
237,325,J
237,317,J
235,317,J
234,314,J
233,316,J
242,315,J
240,320,J
259,308,J
