x,y,label
274,152,K
273,152,K
273,152,K
271,153,K
271,152,K
270,156,K
271,156,K
273,166,K
271,167,K
264,223,K
270,244,K
273,249,K
268,289,K
265,283,K
276,324,K
276,321,K
276,343,K
279,318,K
275,317,K
268,292,K
264,290,K
269,272,K
269,273,K
273,266,K
274,266,K
313,235,K
337,220,K
339,221,K
360,205,K
362,204,K
360,203,K
360,203,K
338,215,K
339,216,K
287,241,K
284,251,K
285,252,K
287,257,K
287,256,K
297,265,K
297,266,K
316,286,K
315,286,K
354,326,K
365,332,K
367,333,K
368,334,K
368,334,K
365,328,K
