x,y,label
218,194,M
217,195,M
216,195,M
216,208,M
216,209,M
211,243,M
211,238,M
220,275,M
243,302,M
222,331,M
219,337,M
219,337,M
234,316,M
235,313,M
257,298,M
257,297,M
240,268,M
242,267,M
236,212,M
240,199,M
241,198,M
248,198,M
249,196,M
257,210,M
257,209,M
268,241,M
267,241,M
296,294,M
305,296,M
303,299,M
310,289,M
308,288,M
315,258,M
315,260,M
340,212,M
357,198,M
359,198,M
365,196,M
365,196,M
369,207,M
370,206,M
368,226,M
369,224,M
373,313,M
373,324,M
374,323,M
374,324,M
374,325,M
371,320,M
