x,y,label
224,140,P
224,140,P
224,140,P
224,141,P
224,142,P
224,142,P
225,141,P
227,153,P
230,193,P
232,193,P
232,195,P
231,197,P
254,269,P
252,265,P
256,273,P
247,267,P
227,304,P
227,305,P
229,303,P
229,301,P
232,299,P
232,300,P
231,301,P
230,303,P
243,245,P
241,248,P
244,250,P
241,250,P
229,197,P
242,144,P
244,147,P
244,150,P
248,145,P
276,121,P
276,123,P
277,122,P
277,122,P
319,127,P
322,128,P
322,128,P
321,128,P
335,155,P
335,155,P
335,155,P
335,155,P
311,183,P
307,186,P
307,186,P
307,185,P
275,190,P
275,189,P
277,190,P
277,190,P
266,185,P
264,184,P
264,184,P
264,184,P
264,183,P
