x,y,label
292,173,Q
293,172,Q
281,174,Q
268,179,Q
268,178,Q
254,190,Q
250,191,Q
238,219,Q
239,214,Q
227,245,Q
227,249,Q
230,282,Q
232,278,Q
231,280,Q
247,306,Q
282,311,Q
281,308,Q
309,305,Q
302,305,Q
348,301,Q
348,302,Q
365,290,Q
364,288,Q
364,289,Q
373,267,Q
374,268,Q
369,250,Q
353,233,Q
352,230,Q
338,222,Q
338,221,Q
330,222,Q
329,221,Q
327,227,Q
325,228,Q
326,227,Q
330,240,Q
328,239,Q
339,253,Q
352,263,Q
351,262,Q
370,280,Q
367,281,Q
387,296,Q
385,295,Q
397,304,Q
396,308,Q
396,308,Q
397,311,Q
