x,y,label
437,186,R
429,172,R
428,170,R
427,171,R
428,173,R
429,190,R
429,190,R
429,224,R
435,225,R
451,314,R
457,318,R
453,338,R
456,349,R
456,357,R
457,358,R
457,335,R
456,338,R
436,244,R
436,248,R
436,212,R
437,214,R
443,194,R
448,190,R
465,180,R
465,182,R
493,183,R
492,184,R
508,205,R
507,203,R
510,226,R
512,228,R
497,248,R
496,248,R
471,261,R
471,259,R
459,260,R
457,261,R
458,267,R
457,266,R
470,283,R
472,286,R
499,324,R
504,323,R
529,354,R
530,349,R
542,370,R
547,366,R
555,370,R
553,365,R
539,358,R
