x,y,label
449,143,S
448,142,S
448,142,S
446,140,S
447,141,S
433,140,S
434,140,S
433,139,S
417,140,S
421,139,S
391,145,S
397,143,S
376,147,S
356,159,S
356,159,S
341,175,S
337,179,S
337,178,S
337,190,S
333,191,S
335,205,S
336,203,S
350,216,S
347,213,S
366,224,S
399,234,S
398,234,S
420,235,S
411,236,S
415,237,S
437,240,S
437,238,S
455,236,S
458,233,S
472,234,S
472,234,S
483,245,S
494,256,S
500,257,S
493,277,S
496,274,S
504,274,S
467,290,S
475,288,S
449,310,S
453,304,S
435,319,S
432,320,S
422,326,S
401,326,S
391,326,S
389,328,S
378,325,S
370,324,S
357,321,S
352,320,S
345,317,S
345,315,S
340,316,S
341,313,S
338,314,S
336,316,S
338,315,S
339,317,S
339,316,S
