x,y,label
448,145,T
446,146,T
446,146,T
445,146,T
445,146,T
444,148,T
444,150,T
448,161,T
447,161,T
451,177,T
452,176,T
461,263,T
455,226,T
460,267,T
461,292,T
462,293,T
462,313,T
465,320,T
463,327,T
472,300,T
472,310,T
473,302,T
470,302,T
469,299,T
467,302,T
468,297,T
468,305,T
470,322,T
469,315,T
473,304,T
468,313,T
469,297,T
469,305,T
467,235,T
470,283,T
469,257,T
465,258,T
458,199,T
459,198,T
459,201,T
456,187,T
453,175,T
452,176,T
447,171,T
450,171,T
441,169,T
441,167,T
429,165,T
430,166,T
414,164,T
416,165,T
415,165,T
401,165,T
393,167,T
393,166,T
385,167,T
386,167,T
386,165,T
387,166,T
391,165,T
389,165,T
390,165,T
401,166,T
400,164,T
418,161,T
448,160,T
447,158,T
469,161,T
471,162,T
498,165,T
499,163,T
514,167,T
514,167,T
514,167,T
532,166,T
530,167,T
548,169,T
561,178,T
560,176,T
566,182,T
