x,y,label
420,171,U
418,172,U
417,173,U
417,172,U
416,176,U
417,176,U
418,179,U
420,179,U
421,184,U
421,187,U
423,192,U
425,194,U
425,203,U
428,203,U
426,216,U
429,216,U
425,236,U
427,236,U
420,249,U
423,248,U
414,256,U
416,255,U
411,268,U
413,268,U
416,286,U
414,287,U
411,295,U
410,296,U
397,304,U
398,303,U
384,302,U
384,300,U
365,295,U
364,294,U
358,282,U
351,279,U
342,268,U
343,268,U
336,250,U
333,249,U
331,240,U
326,237,U
320,222,U
321,225,U
320,212,U
318,211,U
318,201,U
320,202,U
318,192,U
319,191,U
318,183,U
316,183,U
318,179,U
317,177,U
317,176,U
316,176,U
318,176,U
317,176,U
319,177,U
