x,y,label
187,165,V
185,165,V
188,169,V
190,171,V
193,178,V
191,178,V
191,178,V
195,188,V
197,189,V
203,202,V
206,216,V
205,218,V
217,233,V
217,234,V
232,252,V
227,251,V
243,265,V
237,263,V
238,263,V
246,271,V
245,268,V
254,272,V
254,268,V
255,269,V
254,268,V
253,266,V
254,266,V
253,267,V
252,262,V
254,263,V
258,263,V
260,258,V
263,256,V
267,249,V
284,233,V
287,234,V
299,217,V
302,219,V
324,204,V
324,202,V
321,202,V
338,189,V
337,186,V
352,177,V
351,177,V
355,169,V
359,167,V
358,168,V
357,168,V
