x,y,label
150,156,W
150,157,W
149,157,W
152,161,W
152,160,W
156,173,W
156,171,W
163,193,W
162,191,W
172,226,W
170,224,W
173,252,W
172,255,W
182,277,W
183,277,W
182,293,W
185,293,W
184,302,W
183,302,W
183,307,W
183,307,W
184,306,W
185,307,W
192,298,W
193,299,W
205,280,W
205,282,W
216,265,W
214,264,W
225,238,W
227,238,W
237,216,W
233,220,W
242,199,W
244,198,W
253,183,W
251,183,W
254,173,W
254,172,W
255,173,W
254,173,W
256,182,W
256,183,W
257,195,W
256,196,W
262,211,W
262,213,W
265,230,W
264,233,W
270,246,W
268,247,W
273,263,W
273,264,W
278,274,W
275,276,W
280,281,W
280,282,W
279,282,W
280,282,W
278,279,W
278,279,W
277,275,W
276,274,W
281,263,W
280,260,W
285,246,W
284,243,W
291,226,W
293,226,W
301,211,W
302,210,W
305,194,W
304,193,W
306,184,W
308,183,W
311,173,W
312,174,W
311,168,W
313,168,W
309,167,W
311,167,W
310,169,W
310,169,W
