x,y,label
203,131,X
203,132,X
205,129,X
203,129,X
206,128,X
206,128,X
207,131,X
207,131,X
211,144,X
222,159,X
223,161,X
222,162,X
244,176,X
242,177,X
262,197,X
258,198,X
278,216,X
273,217,X
295,233,X
291,235,X
307,247,X
317,256,X
316,255,X
317,255,X
320,261,X
319,260,X
320,259,X
320,259,X
323,249,X
322,251,X
328,243,X
324,240,X
327,226,X
328,205,X
328,206,X
326,206,X
331,181,X
330,181,X
333,162,X
332,162,X
332,144,X
334,142,X
334,130,X
335,128,X
333,124,X
333,123,X
331,124,X
329,124,X
323,128,X
324,129,X
312,138,X
312,137,X
293,148,X
297,149,X
272,170,X
276,169,X
259,187,X
261,186,X
244,197,X
246,201,X
237,203,X
237,205,X
230,209,X
231,209,X
227,211,X
228,212,X
224,214,X
227,216,X
225,216,X
225,217,X
223,219,X
224,219,X
221,222,X
221,222,X
221,224,X
221,224,X
