x,y,label
227,122,Y
226,125,Y
225,122,Y
226,124,Y
224,125,Y
224,126,Y
227,130,Y
226,131,Y
236,140,Y
233,140,Y
244,167,Y
242,166,Y
252,193,Y
249,194,Y
262,225,Y
259,225,Y
269,246,Y
265,247,Y
274,256,Y
271,256,Y
275,254,Y
274,254,Y
281,246,Y
282,247,Y
288,229,Y
288,228,Y
297,207,Y
299,206,Y
308,182,Y
308,180,Y
313,162,Y
313,158,Y
318,143,Y
318,140,Y
318,132,Y
319,133,Y
315,138,Y
316,136,Y
305,149,Y
307,150,Y
299,174,Y
297,171,Y
293,197,Y
293,195,Y
286,226,Y
284,223,Y
276,254,Y
276,252,Y
272,277,Y
272,275,Y
266,295,Y
266,293,Y
260,313,Y
261,314,Y
256,328,Y
255,326,Y
253,334,Y
250,334,Y
250,337,Y
249,338,Y
247,344,Y
248,345,Y
245,351,Y
247,350,Y
246,357,Y
245,357,Y
244,362,Y
245,360,Y
245,362,Y
244,364,Y
243,366,Y
243,365,Y
241,364,Y
241,364,Y
