x,y,label
352,187,Z
353,186,Z
354,185,Z
355,184,Z
357,183,Z
364,182,Z
372,179,Z
382,179,Z
392,177,Z
403,177,Z
413,178,Z
421,177,Z
427,177,Z
433,176,Z
437,177,Z
437,176,Z
439,177,Z
438,177,Z
437,178,Z
435,180,Z
430,182,Z
423,186,Z
417,192,Z
411,196,Z
403,201,Z
396,210,Z
390,215,Z
383,224,Z
377,232,Z
371,239,Z
368,244,Z
366,249,Z
365,252,Z
363,256,Z
361,258,Z
363,260,Z
364,259,Z
368,261,Z
372,261,Z
378,262,Z
386,262,Z
394,265,Z
401,265,Z
410,263,Z
421,262,Z
428,264,Z
435,265,Z
441,266,Z
443,262,Z
446,263,Z
447,260,Z
446,264,Z
450,264,Z
450,262,Z
451,262,Z
